hour,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
validTimeUTC,2023-05-07T22:00:00,2023-05-07T23:00:00,2023-05-08T00:00:00,2023-05-08T01:00:00,2023-05-08T02:00:00,2023-05-08T03:00:00,2023-05-08T04:00:00,2023-05-08T05:00:00,2023-05-08T06:00:00,2023-05-08T07:00:00,2023-05-08T08:00:00,2023-05-08T09:00:00,2023-05-08T10:00:00,2023-05-08T11:00:00,2023-05-08T12:00:00,2023-05-08T13:00:00,2023-05-08T14:00:00,2023-05-08T15:00:00,2023-05-08T16:00:00,2023-05-08T17:00:00,2023-05-08T18:00:00,2023-05-08T19:00:00,2023-05-08T20:00:00,2023-05-08T21:00:00,2023-05-08T22:00:00,2023-05-08T23:00:00,2023-05-09T00:00:00,2023-05-09T01:00:00,2023-05-09T02:00:00,2023-05-09T03:00:00,2023-05-09T04:00:00,2023-05-09T05:00:00,2023-05-09T06:00:00,2023-05-09T07:00:00,2023-05-09T08:00:00,2023-05-09T09:00:00,2023-05-09T10:00:00,2023-05-09T11:00:00
+6,"{'tempF': 45, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 46, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 44, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 44, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 43, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 41, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 40, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 40, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 38, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 38, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 37, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 37, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 37, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 37, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 36, 'source': 'degree below', 'conditions': ['snow'], 'weather': 'snow'}","{'tempF': 37, 'source': 'outer', 'conditions': ['rain'], 'weather': 'rain'}","{'tempF': 37, 'source': 'carryover', 'conditions': ['rain'], 'weather': 'rain'}","{'tempF': 38, 'source': 'outer', 'conditions': ['rain/snow'], 'weather': 'rain/snow'}","{'tempF': 39, 'source': 'degree below', 'conditions': ['rain/snow'], 'weather': 'rain/snow'}","{'tempF': 41, 'source': 'adjacent outer neighbor', 'conditions': ['rain/snow'], 'weather': 'rain/snow'}","{'tempF': 41, 'source': 'carryover', 'conditions': ['rain/snow'], 'weather': 'rain/snow'}","{'tempF': 43, 'source': 'smoothed', 'conditions': ['snow'], 'weather': 'rain/snow'}","{'tempF': 43, 'source': 'smoothed', 'conditions': ['snow'], 'weather': 'rain/snow'}","{'tempF': 43, 'source': 'smoothed', 'conditions': ['snow'], 'weather': 'rain/snow'}","{'tempF': 43, 'source': 'smoothed', 'conditions': ['snow'], 'weather': 'rain/snow'}","{'tempF': 45, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 43, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 43, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 42, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 39, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 38, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 37, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 36, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 35, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 35, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 35, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 34, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 33, 'source': '', 'conditions': [], 'weather': None}"
+5,"{'tempF': 44, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 45, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 43, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 43, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 42, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 40, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 39, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 39, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 37, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 37, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 36, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 36, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 36, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 36, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 35, 'source': 'degree below', 'conditions': ['snow'], 'weather': 'snow'}","{'tempF': 36, 'source': 'carryover', 'conditions': ['snow'], 'weather': 'snow'}","{'tempF': 36, 'source': 'degree below', 'conditions': ['snow'], 'weather': 'snow'}","{'tempF': 37, 'source': 'adjacent outer neighbor', 'conditions': ['rain'], 'weather': 'rain'}","{'tempF': 38, 'source': 'carryover', 'conditions': ['rain/snow'], 'weather': 'rain/snow'}","{'tempF': 40, 'source': 'degree below', 'conditions': ['rain/snow'], 'weather': 'rain/snow'}","{'tempF': 40, 'source': 'carryover', 'conditions': ['rain/snow'], 'weather': 'rain/snow'}","{'tempF': 42, 'source': 'smoothed', 'conditions': ['snow'], 'weather': 'rain/snow'}","{'tempF': 42, 'source': 'smoothed', 'conditions': ['snow'], 'weather': 'rain/snow'}","{'tempF': 42, 'source': 'smoothed', 'conditions': ['snow'], 'weather': 'rain/snow'}","{'tempF': 42, 'source': 'smoothed', 'conditions': ['snow'], 'weather': 'rain/snow'}","{'tempF': 44, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 42, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 42, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 41, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 38, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 37, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 36, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 35, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 34, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 34, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 34, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 33, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 32, 'source': '', 'conditions': [], 'weather': None}"
+4,"{'tempF': 43, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 44, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 42, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 42, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 41, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 39, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 38, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 38, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 36, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 36, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 35, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 35, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 35, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 35, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 34, 'source': 'inner', 'conditions': ['snow'], 'weather': 'snow'}","{'tempF': 35, 'source': 'carryover', 'conditions': ['snow'], 'weather': 'snow'}","{'tempF': 35, 'source': 'degree below', 'conditions': ['snow'], 'weather': 'snow'}","{'tempF': 36, 'source': 'carryover', 'conditions': ['snow', 'rain/snow'], 'weather': 'rain/snow'}","{'tempF': 37, 'source': 'carryover', 'conditions': ['rain', 'rain/snow'], 'weather': 'rain/snow'}","{'tempF': 39, 'source': 'carryover', 'conditions': ['rain/snow'], 'weather': 'rain/snow'}","{'tempF': 39, 'source': 'smoothed', 'conditions': ['snow'], 'weather': 'rain/snow'}","{'tempF': 41, 'source': 'smoothed', 'conditions': ['snow'], 'weather': 'rain/snow'}","{'tempF': 41, 'source': 'smoothed', 'conditions': ['snow'], 'weather': 'rain/snow'}","{'tempF': 41, 'source': 'smoothed', 'conditions': ['snow'], 'weather': 'rain/snow'}","{'tempF': 41, 'source': 'smoothed', 'conditions': ['snow'], 'weather': 'rain/snow'}","{'tempF': 43, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 41, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 41, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 40, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 37, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 36, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 35, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 34, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 33, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 33, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 33, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 32, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 31, 'source': '', 'conditions': [], 'weather': None}"
+3,"{'tempF': 42, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 43, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 41, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 41, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 40, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 38, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 37, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 37, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 35, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 35, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 34, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 34, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 34, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 34, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 33, 'source': 'inner', 'conditions': ['snow'], 'weather': 'snow'}","{'tempF': 34, 'source': 'carryover', 'conditions': ['snow'], 'weather': 'snow'}","{'tempF': 34, 'source': 'carryover', 'conditions': ['snow'], 'weather': 'snow'}","{'tempF': 35, 'source': 'carryover', 'conditions': ['snow'], 'weather': 'snow'}","{'tempF': 36, 'source': 'outer', 'conditions': ['rain/snow'], 'weather': 'rain/snow'}","{'tempF': 38, 'source': 'degree below', 'conditions': ['rain/snow'], 'weather': 'rain/snow'}","{'tempF': 38, 'source': 'carryover', 'conditions': ['rain/snow', 'rain/snow'], 'weather': 'rain/snow'}","{'tempF': 40, 'source': 'smoothed', 'conditions': ['snow'], 'weather': 'rain/snow'}","{'tempF': 40, 'source': 'smoothed', 'conditions': ['snow'], 'weather': 'rain/snow'}","{'tempF': 40, 'source': 'smoothed', 'conditions': ['snow'], 'weather': 'rain/snow'}","{'tempF': 40, 'source': 'smoothed', 'conditions': ['snow'], 'weather': 'rain/snow'}","{'tempF': 42, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 40, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 40, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 39, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 36, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 35, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 34, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 33, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 32, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 32, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 32, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 31, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 30, 'source': '', 'conditions': [], 'weather': None}"
+2,"{'tempF': 41, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 42, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 40, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 40, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 39, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 37, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 36, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 36, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 34, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 34, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 33, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 33, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 33, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 33, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 32, 'source': 'carryover', 'conditions': ['snow'], 'weather': 'snow'}","{'tempF': 33, 'source': 'carryover', 'conditions': ['snow', 'snow'], 'weather': 'snow'}","{'tempF': 33, 'source': 'inner', 'conditions': ['snow'], 'weather': 'snow'}","{'tempF': 34, 'source': 'inner', 'conditions': ['snow'], 'weather': 'snow'}","{'tempF': 35, 'source': 'degree below', 'conditions': ['snow', 'snow'], 'weather': 'snow'}","{'tempF': 37, 'source': 'outer', 'conditions': ['rain/snow'], 'weather': 'rain/snow'}","{'tempF': 37, 'source': 'inner', 'conditions': ['snow'], 'weather': 'snow'}","{'tempF': 39, 'source': 'smoothed', 'conditions': ['snow'], 'weather': 'rain/snow'}","{'tempF': 39, 'source': 'smoothed', 'conditions': ['snow'], 'weather': 'rain/snow'}","{'tempF': 39, 'source': 'smoothed', 'conditions': ['snow'], 'weather': 'rain/snow'}","{'tempF': 39, 'source': 'outer', 'conditions': ['rain/snow', 'rain'], 'weather': 'rain/snow'}","{'tempF': 41, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 39, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 39, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 38, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 35, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 34, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 33, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 32, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 31, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 31, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 31, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 30, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 29, 'source': '', 'conditions': [], 'weather': None}"
+1,"{'tempF': 40, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 41, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 39, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 39, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 38, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 36, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 35, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 35, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 33, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 33, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 32, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 32, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 32, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 32, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 31, 'source': 'outer', 'conditions': ['snow'], 'weather': 'snow'}","{'tempF': 32, 'source': 'inner', 'conditions': ['snow', 'snow'], 'weather': 'snow'}","{'tempF': 32, 'source': 'carryover', 'conditions': ['snow'], 'weather': 'snow'}","{'tempF': 33, 'source': 'inner', 'conditions': ['snow'], 'weather': 'snow'}","{'tempF': 34, 'source': 'inner', 'conditions': ['snow', 'snow'], 'weather': 'snow'}","{'tempF': 36, 'source': 'inner', 'conditions': ['snow'], 'weather': 'snow'}","{'tempF': 36, 'source': 'carryover', 'conditions': ['snow'], 'weather': 'snow'}","{'tempF': 38, 'source': 'outer', 'conditions': ['rain/snow'], 'weather': 'rain/snow'}","{'tempF': 38, 'source': 'carryover', 'conditions': ['rain/snow'], 'weather': 'rain/snow'}","{'tempF': 38, 'source': 'smoothed', 'conditions': ['snow'], 'weather': 'rain/snow'}","{'tempF': 38, 'source': 'smoothed', 'conditions': ['snow'], 'weather': 'rain/snow'}","{'tempF': 40, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 38, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 38, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 37, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 34, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 33, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 32, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 31, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 30, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 30, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 30, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 29, 'source': '', 'conditions': [], 'weather': None}","{'tempF': 28, 'source': '', 'conditions': [], 'weather': None}"
